"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"702","GB","GB-S2A-031","have to","spoken","unsp","SUB","SUB","first",1,1
"703","GB","GB-W2C-005","have to","written","rep","SUB","SUB","first",1,-1
"705","GB","GB-W2A-014","need to","written","ASoc","SUB","SUB","first",1,-1
"706","GB","GB-S1B-031","have to","spoken","bdis","OBJ","SUB","second",0,1
"707","GB","GB-S1B-027","have to","spoken","bdis","OBJ","OBJ","first",-1,1
"708","GB","GB-S1B-043","have to","spoken","bint","OBJ","SUB","first",0,1
"713","GB","GB-S2B-012","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"719","GB","GB-S1B-031","have to","spoken","bdis","OBJ","X","third",-0.5,1
"720","GB","GB-S1B-036","have to","spoken","bdis","SUB","SUB","first",1,1
"722","GB","GB-S2B-013","have to","spoken","bnew","SUB","OBJ","third",0,1
"723","GB","GB-W2C-011","have to","written","rep","SUB","SUB","third",1,-1
"725","GB","GB-W2F-007","need to","written","nov","OBJ","OBJ","second",-1,-1
"727","GB","GB-S1B-043","(have) got to","spoken","bint","OBJ","OBJ","second",-1,1
"728","GB","GB-W2A-011","need to","written","ASoc","OBJ","OBJ","third",-1,-1
"730","GB","GB-W2C-018","have to","written","rep","SUB","X","third",0.5,-1
"731","GB","GB-S1B-025","need to","spoken","bdis","OBJ","X","third",-0.5,1
"732","GB","GB-S1B-031","have to","spoken","bdis","SUB","SUB","third",1,1
"733","GB","GB-S2B-050","have to","spoken","nbtal","OBJ","OBJ","third",-1,1
"734","GB","GB-W2A-011","have to","written","ASoc","SUB","OBJ","third",0,-1
"735","GB","GB-S2B-032","have to","spoken","btal","X","SUB","third",0.5,1
"736","GB","GB-W2D-011","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"738","GB","GB-W2D-013","need to","written","SkHo","OBJ","OBJ","second",-1,-1
"739","GB","GB-S1B-046","need to","spoken","bint","SUB","SUB","first",1,1
"741","GB","GB-S2A-034","have to","spoken","unsp","OBJ","OBJ","third",-1,1
